	Token Name: INTEGER 	Lexeme: int 	 Lineno: 1
	Token Name: NAME 	Lexeme: a 	 Lineno: 1
	Token Name: COMMA 	Lexeme: , 	 Lineno: 1
	Token Name: NAME 	Lexeme: b 	 Lineno: 1
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 1
	Token Name: VOID 	Lexeme: void 	 Lineno: 2
	Token Name: NAME 	Lexeme: main 	 Lineno: 2
	Token Name: LEFT_ROUND_BRACKET 	Lexeme: ( 	 Lineno: 2
	Token Name: RIGHT_ROUND_BRACKET 	Lexeme: ) 	 Lineno: 2
	Token Name: LEFT_CURLY_BRACKET 	Lexeme: { 	 Lineno: 3
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 4
	Token Name: NAME 	Lexeme: c 	 Lineno: 4
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 4
	Token Name: NAME 	Lexeme: c 	 Lineno: 5
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 5
	Token Name: INT_NUM 	Lexeme: 10 	 Lineno: 5
	Token Name: GREATER_THAN 	Lexeme: > 	 Lineno: 5
	Token Name: INT_NUM 	Lexeme: 20 	 Lineno: 5
	Token Name: QUESTION_MARK 	Lexeme: ? 	 Lineno: 5
	Token Name: INT_NUM 	Lexeme: 10 	 Lineno: 5
	Token Name: COLON 	Lexeme: : 	 Lineno: 5
	Token Name: INT_NUM 	Lexeme: 5 	 Lineno: 5
	Token Name: GREATER_THAN 	Lexeme: > 	 Lineno: 5
	Token Name: INT_NUM 	Lexeme: 10 	 Lineno: 5
	Token Name: QUESTION_MARK 	Lexeme: ? 	 Lineno: 5
	Token Name: INT_NUM 	Lexeme: 5 	 Lineno: 5
	Token Name: COLON 	Lexeme: : 	 Lineno: 5
	Token Name: INT_NUM 	Lexeme: 10 	 Lineno: 5
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 5
	Token Name: RIGHT_CURLY_BRACKET 	Lexeme: } 	 Lineno: 6
