	Token Name: VOID 	Lexeme: void 	 Lineno: 1
	Token Name: NAME 	Lexeme: main 	 Lineno: 1
	Token Name: LEFT_ROUND_BRACKET 	Lexeme: ( 	 Lineno: 1
	Token Name: RIGHT_ROUND_BRACKET 	Lexeme: ) 	 Lineno: 1
	Token Name: LEFT_CURLY_BRACKET 	Lexeme: { 	 Lineno: 2
	Token Name: FLOAT 	Lexeme: float 	 Lineno: 3
	Token Name: NAME 	Lexeme: a 	 Lineno: 3
	Token Name: COMMA 	Lexeme: , 	 Lineno: 3
	Token Name: NAME 	Lexeme: b 	 Lineno: 3
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 3
	Token Name: BOOL 	Lexeme: bool 	 Lineno: 4
	Token Name: NAME 	Lexeme: c 	 Lineno: 4
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 4
	Token Name: NAME 	Lexeme: c 	 Lineno: 5
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 5
	Token Name: NAME 	Lexeme: a 	 Lineno: 5
	Token Name: MULT 	Lexeme: * 	 Lineno: 5
	Token Name: NAME 	Lexeme: b 	 Lineno: 5
	Token Name: GREATER_THAN_EQUAL 	Lexeme: >= 	 Lineno: 5
	Token Name: NAME 	Lexeme: a 	 Lineno: 5
	Token Name: OR 	Lexeme: || 	 Lineno: 5
	Token Name: NOT 	Lexeme: ! 	 Lineno: 5
	Token Name: NAME 	Lexeme: b 	 Lineno: 5
	Token Name: LESS_THAN 	Lexeme: < 	 Lineno: 5
	Token Name: NAME 	Lexeme: a 	 Lineno: 5
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 5
	Token Name: RIGHT_CURLY_BRACKET 	Lexeme: } 	 Lineno: 6
