	Token Name: VOID 	Lexeme: void 	 Lineno: 1
	Token Name: NAME 	Lexeme: main 	 Lineno: 1
	Token Name: LEFT_ROUND_BRACKET 	Lexeme: ( 	 Lineno: 1
	Token Name: RIGHT_ROUND_BRACKET 	Lexeme: ) 	 Lineno: 1
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 1
	Token Name: VOID 	Lexeme: void 	 Lineno: 3
	Token Name: NAME 	Lexeme: main 	 Lineno: 3
	Token Name: LEFT_ROUND_BRACKET 	Lexeme: ( 	 Lineno: 3
	Token Name: RIGHT_ROUND_BRACKET 	Lexeme: ) 	 Lineno: 3
	Token Name: LEFT_CURLY_BRACKET 	Lexeme: { 	 Lineno: 4
	Token Name: INTEGER 	Lexeme: int 	 Lineno: 5
	Token Name: NAME 	Lexeme: num1 	 Lineno: 5
	Token Name: COMMA 	Lexeme: , 	 Lineno: 5
	Token Name: NAME 	Lexeme: num2 	 Lineno: 5
	Token Name: COMMA 	Lexeme: , 	 Lineno: 5
	Token Name: NAME 	Lexeme: max 	 Lineno: 5
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 5
	Token Name: READ 	Lexeme: read 	 Lineno: 6
	Token Name: NAME 	Lexeme: num1 	 Lineno: 6
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 6
	Token Name: READ 	Lexeme: read 	 Lineno: 7
	Token Name: NAME 	Lexeme: num2 	 Lineno: 7
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 7
	Token Name: NAME 	Lexeme: max 	 Lineno: 8
	Token Name: ASSIGN_OP 	Lexeme: = 	 Lineno: 8
	Token Name: NAME 	Lexeme: num1 	 Lineno: 8
	Token Name: GREATER_THAN 	Lexeme: > 	 Lineno: 8
	Token Name: NAME 	Lexeme: num2 	 Lineno: 8
	Token Name: QUESTION_MARK 	Lexeme: ? 	 Lineno: 8
	Token Name: NAME 	Lexeme: num1 	 Lineno: 8
	Token Name: COLON 	Lexeme: : 	 Lineno: 8
	Token Name: NAME 	Lexeme: num2 	 Lineno: 8
	Token Name: SEMICOLON 	Lexeme: ; 	 Lineno: 8
	Token Name: RIGHT_CURLY_BRACKET 	Lexeme: } 	 Lineno: 9
